|       pathname       |               function               |          callSite          |  destination   |             destinationLiteral             |         type          |   stripedType    | destinationSize |                                       location                                        |
+----------------------+--------------------------------------+----------------------------+----------------+--------------------------------------------+-----------------------+------------------+-----------------+---------------------------------------------------------------------------------------+
| hw/audio/ac97.c      | fetch_bd                             | call to pci_dma_read       | b              | b                                          | uint8_t[8]            | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/audio/ac97.c:229:5:229:16        |
| hw/audio/ac97.c      | write_audio                          | call to pci_dma_read       | tmpbuf         | tmpbuf                                     | uint8_t[4096]         | unsigned char    |            4096 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/audio/ac97.c:945:9:945:20        |
| hw/audio/es1370.c    | es1370_transfer_audio                | call to pci_dma_read       | tmpbuf         | tmpbuf                                     | uint8_t[4096]         | unsigned char    |            4096 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/audio/es1370.c:680:13:680:24     |
| hw/audio/intel-hda.c | intel_hda_parse_bdl                  | call to pci_dma_read       | buf            | buf                                        | uint8_t[16]           | unsigned char    |              16 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/audio/intel-hda.c:483:9:483:20   |
| hw/audio/intel-hda.c | intel_hda_corb_run                   | call to ldl_le_pci_dma     | & ...          | &verb                                      | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/audio/intel-hda.c:338:9:338:22   |
| hw/ide/ahci.c        | ahci_populate_sglist                 | call to dma_memory_map     | prdt           | prdt                                       | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/ide/ahci.c:942:18:942:31         |
| hw/ide/ahci.c        | ahci_populate_sglist                 | call to dma_memory_map     | & ...          | &prdt_len                                  | dma_addr_t *          | unsigned long    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/ide/ahci.c:942:18:942:31         |
| hw/ide/ahci.c        | handle_cmd                           | call to dma_memory_map     | cmd_fis        | cmd_fis                                    | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/ide/ahci.c:1305:15:1305:28       |
| hw/ide/ahci.c        | handle_cmd                           | call to dma_memory_map     | & ...          | &cmd_len                                   | dma_addr_t *          | unsigned long    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/ide/ahci.c:1305:15:1305:28       |
| hw/ide/ahci.c        | ahci_map_clb_address                 | call to map_page           | ... | ...      | pr->lst_addr_hi << 32 | pr->lst_addr       | unsigned long         | unsigned long    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/ide/ahci.c:750:5:750:12          |
| hw/ide/ahci.c        | map_page                             | call to dma_memory_map     | * ...          | *ptr                                       | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/ide/ahci.c:252:12:252:25         |
| hw/ide/ahci.c        | map_page                             | call to dma_memory_map     | & ...          | &len                                       | hwaddr *              | unsigned long    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/ide/ahci.c:252:12:252:25         |
| hw/ide/ahci.c        | ahci_map_fis_address                 | call to map_page           | ... | ...      | pr->fis_addr_hi << 32 | pr->fis_addr       | unsigned long         | unsigned long    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/ide/ahci.c:723:5:723:12          |
| hw/ide/pci.c         | bmdma_rw_buf                         | call to pci_dma_read       | & ...          | &prd                                       | struct <unnamed> *    | struct <unnamed> |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/ide/pci.c:204:13:204:24          |
| hw/ide/pci.c         | bmdma_rw_buf                         | call to pci_dma_read       | ... + ...      | s->io_buffer+s->io_buffer_index            | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/ide/pci.c:222:17:222:28          |
| hw/ide/pci.c         | bmdma_prepare_buf                    | call to pci_dma_read       | & ...          | &prd                                       | struct <unnamed> *    | struct <unnamed> |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/ide/pci.c:150:13:150:24          |
| hw/net/e1000.c       | start_xmit                           | call to pci_dma_read       | & ...          | &desc                                      | e1000_tx_desc *       | e1000_tx_desc    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/e1000.c:775:9:775:20         |
| hw/net/e1000.c       | e1000_receive_iov                    | call to pci_dma_read       | & ...          | &desc                                      | e1000_rx_desc *       | e1000_rx_desc    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/e1000.c:980:9:980:20         |
| hw/net/e1000.c       | process_tx_desc                      | call to pci_dma_read       | ... + ...      | tp->data+tp->size                          | unsigned char *       | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/e1000.c:696:13:696:24        |
| hw/net/e1000.c       | process_tx_desc                      | call to pci_dma_read       | ... + ...      | tp->data+tp->size                          | unsigned char *       | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/e1000.c:713:9:713:20         |
| hw/net/e1000e_core.c | e1000e_start_xmit                    | call to pci_dma_read       | & ...          | &desc                                      | e1000_tx_desc *       | e1000_tx_desc    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/e1000e_core.c:924:9:924:20   |
| hw/net/e1000e_core.c | e1000e_write_packet_to_guest         | call to pci_dma_read       | & ...          | &desc                                      | uint8_t(*)[32]        | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/e1000e_core.c:1527:9:1527:20 |
| hw/net/eepro100.c    | nic_receive                          | call to pci_dma_read       | & ...          | &rx                                        | eepro100_rx_t *       | struct <unnamed> |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:1720:5:1720:16    |
| hw/net/eepro100.c    | eepro100_write_port                  | call to pci_dma_read       | & ...          | &data                                      | eepro100_selftest_t * | struct <unnamed> |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:1303:9:1303:20    |
| hw/net/eepro100.c    | action_command                       | call to pci_dma_read       | & ...          | &s->conf.macaddr.a.0                       | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:878:13:878:24     |
| hw/net/eepro100.c    | action_command                       | call to pci_dma_read       | & ...          | &s->configuration.0                        | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:882:13:882:24     |
| hw/net/eepro100.c    | read_cb                              | call to pci_dma_read       | & ...          | &s->tx                                     | eepro100_tx_t *       | struct <unnamed> |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:730:5:730:16      |
| hw/net/eepro100.c    | set_multicast_list                   | call to pci_dma_read       | multicast_addr | multicast_addr                             | uint8_t[6]            | unsigned char    |               6 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:831:9:831:20      |
| hw/net/eepro100.c    | tx_command                           | call to pci_dma_read       | & ...          | &buf.size                                  | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:764:9:764:20      |
| hw/net/eepro100.c    | tx_command                           | call to pci_dma_read       | & ...          | &buf.size                                  | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:787:17:787:28     |
| hw/net/eepro100.c    | tx_command                           | call to pci_dma_read       | & ...          | &buf.size                                  | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:805:13:805:24     |
| hw/net/eepro100.c    | tx_command                           | call to ldl_le_pci_dma     | & ...          | &tx_buffer_address                         | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:779:17:779:30     |
| hw/net/eepro100.c    | tx_command                           | call to ldl_le_pci_dma     | & ...          | &tx_buffer_address                         | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:797:13:797:26     |
| hw/net/eepro100.c    | tx_command                           | call to lduw_le_pci_dma    | & ...          | &tx_buffer_size                            | uint16_t *            | unsigned short   |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:780:17:780:31     |
| hw/net/eepro100.c    | tx_command                           | call to lduw_le_pci_dma    | & ...          | &tx_buffer_el                              | uint16_t *            | unsigned short   |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:781:17:781:31     |
