|     src_pathname     |             src_function             |     access     |     dst_pathname     |             dst_function             | bitwiseAndExpr |                        bitwiseAndExprLiteral                        |
+----------------------+--------------------------------------+----------------+----------------------+--------------------------------------+----------------+---------------------------------------------------------------------+
| hw/audio/ac97.c      | fetch_bd                             | b              | hw/audio/ac97.c      | fetch_bd                             | ... & ...      | le32_to_cpu(*&b[0]) & ~3                                            |
| hw/audio/ac97.c      | fetch_bd                             | b              | hw/audio/ac97.c      | fetch_bd                             | ... & ...      | r->bd.ctl_len & 65535                                               |
| hw/audio/intel-hda.c | intel_hda_corb_run                   | verb           | hw/audio/intel-hda.c | intel_hda_send_command               | ... & ...      | verb >> 28 & 15                                                     |
| hw/audio/intel-hda.c | intel_hda_corb_run                   | verb           | hw/audio/intel-hda.c | intel_hda_send_command               | ... & ...      | verb & 1 << 27                                                      |
| hw/audio/intel-hda.c | intel_hda_corb_run                   | verb           | hw/audio/intel-hda.c | intel_hda_send_command               | ... & ...      | verb >> 20 & 127                                                    |
| hw/audio/intel-hda.c | intel_hda_corb_run                   | verb           | hw/audio/intel-hda.c | intel_hda_send_command               | ... & ...      | verb & 1048575                                                      |
| hw/ide/ahci.c        | prdt_tbl_entry_size                  | flags_size     | hw/ide/ahci.c        | prdt_tbl_entry_size                  | ... & ...      | le32_to_cpu(tbl->flags_size) & 4194303                              |
| hw/net/eepro100.c    | set_multicast_list                   | multicast_addr | hw/net/eepro100.c    | set_multicast_list                   | ... & ...      | net_crc32(multicast_addr) & 4294967295 << 31 - 7 >> 31 - 7 + 2 << 2 |
| hw/net/eepro100.c    | set_multicast_list                   | multicast_addr | hw/net/eepro100.c    | set_multicast_list                   | ... & ...      | mcast_idx & 7                                                       |
| hw/net/eepro100.c    | tx_command                           | tx_buffer_el   | hw/net/eepro100.c    | tx_command                           | ... & ...      | tx_buffer_el & 1                                                    |
| hw/net/eepro100.c    | tx_command                           | tx_buffer_el   | hw/net/eepro100.c    | tx_command                           | ... & ...      | tx_buffer_el & 1                                                    |
| hw/net/eepro100.c    | tx_command                           | tx_buffer_el   | hw/net/eepro100.c    | tx_command                           | ... & ...      | tx_buffer_el & 1                                                    |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | rmd.status & 32768                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~32768                                               |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | rmd.status & 32768                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~32768                                               |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | rmd.status & 32768                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~32768                                               |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~256                                                 |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~64                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~32                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~16                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~2048                                                |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~16384                                               |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~4096                                                |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~1024                                                |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~16384                                               |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_rmd_store                      | ... & ...      | rmd->status & 65280                                                 |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~512                                                 |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~32768                                               |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | rmd.status & 32768                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~32768                                               |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | rmd.status & 32768                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~32768                                               |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~256                                                 |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~64                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~32                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~16                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~2048                                                |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~16384                                               |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~4096                                                |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~1024                                                |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~16384                                               |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_rmd_store                      | ... & ...      | rmd->status & 65280                                                 |
| hw/net/pcnet.c       | pcnet_receive                        | buf_length     | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | rmd.buf_length & 4095                                               |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | rmd.status & 32768                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~32768                                               |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | rmd.status & 32768                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~32768                                               |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~256                                                 |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~64                                                  |
| hw/net/pcnet.c       | pcnet_receive                        | status         | hw/net/pcnet.c       | pcnet_receive                        | ... & ...      | *&rmd.status & ~32                                                  |
