|   src_pathname    |        src_function        |    src_access     |   dst_pathname    |    dst_access     |
+-------------------+----------------------------+-------------------+-------------------+-------------------+
| hw/audio/ac97.c   | fetch_bd                   | b                 | hw/audio/ac97.c   | addr              |
| hw/audio/ac97.c   | fetch_bd                   | b                 | hw/audio/ac97.c   | addr              |
| hw/ide/ahci.c     | ahci_populate_sglist       | addr              | hw/ide/ahci.c     | addr              |
| hw/ide/ahci.c     | prdt_tbl_entry_size        | flags_size        | hw/ide/ahci.c     | off_pos           |
| hw/ide/ahci.c     | ahci_map_clb_address       | lst               | hw/ide/ahci.c     | lst               |
| hw/ide/ahci.c     | ahci_map_fis_address       | res_fis           | hw/ide/ahci.c     | res_fis           |
| hw/net/e1000.c    | e1000_receive_iov          | buffer_addr       | hw/net/e1000.c    | ba                |
| hw/net/e1000.c    | process_tx_desc            | buffer_addr       | hw/net/e1000.c    | addr              |
| hw/net/e1000.c    | process_tx_desc            | buffer_addr       | hw/net/e1000.c    | addr              |
| hw/net/eepro100.c | tx_command                 | tx_buffer_address | hw/net/eepro100.c | tx_buffer_address |
| hw/net/eepro100.c | tx_command                 | tx_buffer_address | hw/net/eepro100.c | tx_buffer_address |
| hw/net/eepro100.c | tx_command                 | tx_buffer_address | hw/net/eepro100.c | tx_buffer_address |
| hw/net/pcnet.c    | pcnet_init                 | mode              | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | mode              | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | mode              | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | mode              | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | rlen              | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | rlen              | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | rlen              | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | rlen              | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | tlen              | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | tlen              | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | tlen              | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | tlen              | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | ladrf             | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | ladrf             | hw/net/pcnet.c    | addr              |
| hw/net/pcnet.c    | pcnet_init                 | ladrf             | hw/net/pcnet.c    | addr              |
